,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
1,CORAZON DE JESUS,EL ORO,ARENILLAS,ARENILLAS,33,11
13,9 DE OCTUBRE,EL ORO,ARENILLAS,ARENILLAS,23,2
19,ARISTIDES CORDOVA VILLACIS,EL ORO,ARENILLAS,ARENILLAS,41,5
23,NAPOLEON PALADINES CARREÑO,EL ORO,ARENILLAS,ARENILLAS,45,5
24,MAYOR HECTOR ESPINOZA,EL ORO,ARENILLAS,ARENILLAS,47,5
26,ING. RAFAEL GUERRERO,EL ORO,ARENILLAS,ARENILLAS,12,2
29,5 DE JUNIO,EL ORO,ARENILLAS,PALMALES,14,2
32,SIMON BOLIVAR,EL ORO,ARENILLAS,CHACRAS,46,3
35,MAYOR  MANUEL ANTONIO ROSERO,EL ORO,ARENILLAS,PALMALES,46,3
36,ZOILA ESPERANZA CRESPO,EL ORO,ARENILLAS,CARCABON,29,4
37,JESUS MARIA YEPEZ,EL ORO,ARENILLAS,CARCABON,48,5
42,9 DE OCTUBRE,EL ORO,ARENILLAS,PALMALES,15,2
43,PALMALES,EL ORO,ARENILLAS,PALMALES,15,2
44,CABO LUIS MINACHO PADILLA,EL ORO,ARENILLAS,PALMALES,11,2
45,RIO ARENILLAS,EL ORO,ARENILLAS,PALMALES,21,3
48,24 DE MAYO,EL ORO,ARENILLAS,PALMALES,24,3
50,ELOY ALFARO,EL ORO,ARENILLAS,ARENILLAS,24,3
59,LAS AMERICAS,EL ORO,ARENILLAS,ARENILLAS,39,2
62,REPUBLICA DE ARGENTINA,EL ORO,ATAHUALPA,PACCHA,31,4
64,DAVID GUZMAN,EL ORO,ATAHUALPA,PACCHA,7,3
67,CELIA LUCIA PONTON MATAMOROS,EL ORO,ATAHUALPA,AYAPAMBA,24,3
68,DIEZ DE AGOSTO,EL ORO,ATAHUALPA,AYAPAMBA,41,5
69,AMAZONAS,EL ORO,ATAHUALPA,AYAPAMBA,11,2
70,MERCEDES  MOROCHO,EL ORO,ATAHUALPA,AYAPAMBA,16,3
73,BLANCA LIDIA ORDOÑEZ VASQUEZ,EL ORO,ATAHUALPA,CORDONCILLO,18,3
74,ATAHUALPA,EL ORO,ATAHUALPA,MILAGRO,13,2
75,EL ORO,EL ORO,ATAHUALPA,SAN JOSE,17,3
76,CARLOS REYES ANDRADE,EL ORO,ATAHUALPA,SAN JOSE,27,4
77,ODALIA  ARÁUZ,EL ORO,ATAHUALPA,SAN JUAN DE CERRO AZUL,20,3
79,SOR AMALIA URIGUEN ESPINOZA,EL ORO,ATAHUALPA,PACCHA,18,3
82,25 DE ABRIL,EL ORO,ATAHUALPA,AYAPAMBA,12,3
84,GRAL. VICENTE ANDA AGUIRRE,EL ORO,ATAHUALPA,MILAGRO,9,2
100,PROFESOR LEOVIGILDO LOAYZA LOAYZA,EL ORO,BALSAS,BELLAMARIA,27,3
112,LAURO DAVILA ECHEVERRIA,EL ORO,CHILLA,CHILLA,35,2
116,LEONARDO ARAUJO MENDOZA,EL ORO,CHILLA,CHILLA,20,2
118,JORGE ICAZA CORONEL,EL ORO,CHILLA,CHILLA,30,4
120,BELISARIO FAJARDO,EL ORO,CHILLA,CHILLA,29,5
121,JORGE CHILES CORREA,EL ORO,CHILLA,CHILLA,10,3
124,MEDARDO ANGEL SILVA,EL ORO,CHILLA,CHILLA,10,2
140,INSTITUTO  7 DE SEPTIEMBRE,EL ORO,EL GUABO,EL GUABO,43,12
144,VIRGEN MARIA AUXILIADORA,EL ORO,EL GUABO,EL GUABO,26,5
150,JOSE LUIS MOLESTINA,EL ORO,EL GUABO,EL GUABO,44,5
152,SAN ANTONIO DE PADUA,EL ORO,EL GUABO,EL GUABO,49,7
172,OVIDIO DECROLY,EL ORO,EL GUABO,BARBONES (SUCRE),18,4
176,ENRIQUE RUILOVA,EL ORO,EL GUABO,BARBONES (SUCRE),24,4
183,DR. ROMULO CEDILLO ZEA,EL ORO,EL GUABO,BARBONES (SUCRE),37,4
184,CORAZON DE MARIA,EL ORO,EL GUABO,EL GUABO,14,2
185,REPUBLICA DE ESPAÑA,EL ORO,EL GUABO,TENDALES,13,3
187,JOSE HOMERO SERRANO RAMIREZ,EL ORO,EL GUABO,RIO BONITO,40,4
189,POMPEYO FERNANDEZ MARQUEZ,EL ORO,EL GUABO,RIO BONITO,50,7
190,EL PARAISO,EL ORO,EL GUABO,RIO BONITO,32,3
191,14 DE JULIO,EL ORO,EL GUABO,RIO BONITO,31,3
194,TENIENTE GUSTAVO LEDESMA,EL ORO,EL GUABO,RIO BONITO,34,5
212,ALEJANDRO CAMPOVERDE ANDRADE,EL ORO,HUAQUILLAS,MILTON REYES,36,4
220,MARIA LEONOR MINUCHE ARMIJOS,EL ORO,HUAQUILLAS,ECUADOR,47,6
237,CIUDAD DE MACARA,EL ORO,HUAQUILLAS,MILTON REYES,37,7
255,NICOLAS VALDANO RAFFO,EL ORO,LAS LAJAS,LA VICTORIA,38,4
263,PROVINCIA DE TUNGURAHUA,EL ORO,LAS LAJAS,EL PARAISO,27,3
265,DOLORES CARREÑO DE MORA,EL ORO,LAS LAJAS,EL PARAISO,25,2
270,DR. JOSE MARIA VELAZCO IBARRA,EL ORO,LAS LAJAS,LA LIBERTAD,25,2
272,JORGE YEPEZ CARRANZA,EL ORO,LAS LAJAS,LA LIBERTAD,21,2
